PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,24.3,25.68,27.77,29.99,31.02,28.98,28.83,28.03,27.9,27.69,26.19,23.76,27.51
T2M,2001,23.73,26.22,28.48,29.82,31.36,29.77,29.07,28.42,28.51,27.47,25.73,22.98,27.63
T2M,2002,23.69,25.68,28.15,29.96,31.59,29.87,30.07,28.29,28.82,27.56,25.76,24.63,27.85
T2M,2003,23.83,26,27.98,30.23,31.33,30.16,28.02,27.89,27.95,27.35,24.93,23.04,27.4
T2M,2004,22.56,25.03,28.11,30.07,30.6,29.49,27.85,28.05,27.85,26.83,25.1,23.86,27.12
T2M,2005,24.55,26.41,28.14,30.11,31.08,30.7,28.69,28.59,28.04,27.11,24.27,22.58,27.52
T2M,2006,23.18,25.77,28.17,29.94,30.27,29.55,28.64,27.33,27.78,27.58,25.14,23.4,27.23
T2M,2007,23.55,25.05,27.64,29.51,31.33,29.76,27.87,27.9,27.79,27.04,24.84,23.78,27.18
T2M,2008,23.69,24.76,27.41,29.6,31.5,29.09,28.46,27.69,27.87,27.4,25.77,24.8,27.34
T2M,2009,24.5,26.68,28.21,30.23,30.83,30.72,28.62,28.71,28.83,27.85,26.05,24.28,27.96
T2M,2010,24.18,26.04,29.14,30.62,30.83,29.4,27.94,28.06,27.98,27.45,26.13,23.12,27.58
T2M,2011,22.38,24.69,27.55,28.78,30.62,29.87,28.4,27.97,28.27,28.32,26.28,24.58,27.32
T2M,2012,24.11,25.73,28.39,30.02,31.12,30.51,28.49,27.68,27.8,27.16,24.89,23.25,27.43
T2M,2013,23.94,25.4,28.23,29.8,31.08,29.47,28.38,28.44,28.3,27.29,25.1,23.27,27.4
T2M,2014,23.53,24.83,27.95,30.41,30.48,30.63,28.98,28.27,27.98,27.26,25.11,23.3,27.4
T2M,2015,23.44,25.18,27.87,29.42,30.82,28.8,28.62,28.24,27.96,27.94,25.29,24.26,27.33
T2M,2016,23.98,26.41,28.15,30.26,31.08,29.14,27.98,28.36,28.07,27.63,24.91,23.83,27.48
T2M,2017,23.85,25.5,27.97,29.87,30.91,29.1,28.23,28.24,28.3,27.65,25.15,23.14,27.33
T2M,2018,23.15,25.18,28.19,29.55,29.95,29.82,28.19,27.88,28.12,27.54,26.02,23.72,27.28
T2M,2019,22.9,25.35,28.3,30.07,30.61,30,28.58,27.96,27.69,27.39,25.48,23.37,27.31
T2M,2020,23.43,25.23,27.87,30.04,30.83,29.3,28.57,28.08,28.39,27.76,25.72,23.09,27.36
T2M,2021,24.34,25.12,28.29,29.59,30.7,29.84,28.4,28.5,28.16,27.87,25.88,23.54,27.53
RH2M,2000,67.88,73.94,68.81,72.62,71,79.19,77.94,82.88,84.31,75.44,72,65,74.19
RH2M,2001,68.75,69.31,67.06,69.94,71.38,73.38,76.56,81.5,80.5,81.75,81.88,70.75,74.44
RH2M,2002,73.31,67.5,69.56,70.81,68.69,77.75,73.88,82.12,76.75,78.56,69.06,66.69,72.94
RH2M,2003,70.19,72.5,70.19,69.19,70.25,75.62,85.44,86.5,84.81,84.62,75.5,76.5,76.81
RH2M,2004,75.5,68.5,69.62,72.06,72.25,77.25,87,86.19,85.25,83.75,72,68.94,76.56
RH2M,2005,73.06,69,70.62,70.25,71.94,74.12,81,80.62,85.75,87.25,76.44,77.62,76.56
RH2M,2006,71.31,64.94,69.06,70.62,75.06,78.56,82,89.12,85.38,79.19,80.38,75.62,76.88
RH2M,2007,72.56,70.38,71.19,71.5,71,79.94,87.31,86.12,87.75,80.06,76.25,73.31,77.31
RH2M,2008,68.94,76.31,69.19,70.12,69.38,78.56,82.56,87.25,84,78.75,75.56,72.69,76.12
RH2M,2009,69.75,68.12,66.56,68.56,72.38,71.75,81.19,81.62,80.88,70.62,78.19,69.81,73.31
RH2M,2010,67.69,66.69,67.5,71.69,75.31,82.56,87.56,85.5,85.94,83.94,84.5,77.12,78.06
RH2M,2011,74.25,72.38,68.5,72.44,75.19,75.19,82.56,86.25,82.12,72.56,67.75,71.31,75.06
RH2M,2012,70.5,64.75,69.44,69.81,72.81,72,81.5,86.25,86.12,79.75,80.06,75.31,75.75
RH2M,2013,71.88,66.25,64.94,70.25,72.56,76.69,80.31,80.19,81.94,85.06,80.38,74.62,75.5
RH2M,2014,76.75,69.94,64.44,65.12,73.62,74.88,79.81,83.25,83.19,81,75.31,71,74.94
RH2M,2015,68.38,68,67.25,70.75,72.5,83,84.81,86.25,86.31,77.06,81.81,76.94,76.94
RH2M,2016,70.31,71.25,69.31,70.31,71.75,82.38,87,85,85.38,74.12,72.38,71.38,75.88
RH2M,2017,70.69,71.06,71.75,73.25,72.31,83.44,86.19,85.44,85.12,81.38,80.75,73.56,77.94
RH2M,2018,65.75,62.62,66.25,72.19,77,77.5,84.75,86.19,82.12,76.75,75.12,73.81,75.06
RH2M,2019,70.12,70.62,70.19,68,74.5,79.62,83.5,87.25,87.5,85.38,80.19,79,78
RH2M,2020,76.69,70.88,68.75,68.25,71.19,81.38,84.06,87.62,84.44,82.62,82.12,75.88,77.88
RH2M,2021,76.25,65.81,63.69,70.38,72.44,76.56,84.88,84.69,85.81,83,85.81,78.69,77.44
PRECTOTCORR,2000,0,1.41,0.05,0.95,1.8,4.98,2.55,7.18,6.38,3.26,0.27,0.04,2.4
PRECTOTCORR,2001,0.01,0.01,0.18,1.71,1.81,2.99,2.72,5.07,7.31,3.37,7.18,0.14,2.71
PRECTOTCORR,2002,0.64,0.02,0.18,1.29,1.05,5.14,3.04,5.71,2,4.92,1.13,0.02,2.11
PRECTOTCORR,2003,0.05,0.12,1.39,0.13,1.26,2.26,8.77,4.43,5.6,14.09,0.03,2.52,3.43
PRECTOTCORR,2004,0.37,0.08,0.06,1.67,1.26,5.61,8,4.12,5.15,5.84,0.09,0.01,2.7
PRECTOTCORR,2005,0.36,0.47,0.24,1.14,1.35,3.31,4.99,2.92,19.73,14.92,1.54,0.39,4.29
PRECTOTCORR,2006,0,0.02,0.54,1.8,2.89,4.81,4.96,10.99,10.28,5.95,3.6,0.05,3.84
PRECTOTCORR,2007,0.04,0.33,0.18,0.27,2.02,10.87,3.66,5.13,9.66,8.53,0.1,0.04,3.41
PRECTOTCORR,2008,0.27,4.07,2.54,0.36,1.13,5.31,5.84,7.1,6.54,1.96,1.59,0.06,3.05
PRECTOTCORR,2009,0.01,0,0.47,0.17,1.5,3.82,5.79,4.41,4.99,2.14,3.9,0.1,2.28
PRECTOTCORR,2010,0.13,0.04,0.31,0.25,5.93,6.21,8.58,7.75,5.59,14.06,7.63,5,5.17
PRECTOTCORR,2011,0.03,0.81,0.03,2.08,3.53,2.66,6.77,6.42,3.81,2.15,0.1,0.89,2.46
PRECTOTCORR,2012,0.38,0,0.08,0.84,1.47,3.25,6.61,7.11,10.42,4.06,8.15,0.05,3.53
PRECTOTCORR,2013,0.06,0.29,0.06,1.29,1.39,5.09,5.33,4.45,6.44,17.56,4.12,0.13,3.88
PRECTOTCORR,2014,0.28,0.02,0.13,0.15,4.32,3.85,7.23,8.03,6.43,6.31,0.75,1.12,3.25
PRECTOTCORR,2015,0.16,0.12,0.41,1.42,1.07,11.39,4.06,8.75,9.74,5.44,4.45,0.25,3.94
PRECTOTCORR,2016,0.13,0.2,0.55,0.12,5.91,10.23,8.91,5.82,8.73,2.59,0.83,0.15,3.69
PRECTOTCORR,2017,0.07,0.06,1.03,0.43,2.24,9.59,10.34,8.32,4.96,3.96,1.3,0.03,3.55
PRECTOTCORR,2018,0.02,0.01,0.35,2.22,2.95,5.92,8.25,11.98,5.66,1.53,0.25,2.87,3.53
PRECTOTCORR,2019,0.14,0.15,0.48,0.87,2.12,5.83,9.32,8.52,8.86,8.86,0.23,0.11,3.82
PRECTOTCORR,2020,0.5,0.63,0.72,2.57,1.46,7,5.1,10.14,7.24,8.47,4.5,0.21,4.05
PRECTOTCORR,2021,0,0,0,1.13,3.81,3.72,7.05,5.86,11.24,4.29,6.84,0.43,3.7
